# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d01-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d01-x01-y01
Title=Leading hard jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\eta$
YLabel=$d^\sigma\,/d\eta\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.277694e+05
## Num bins: 18
## xlow  	xhigh   	val    	errminus	errplus
-4.000000e+00	-3.000000e+00	1.551885e+04	2.743518e+03	2.743518e+03
-3.000000e+00	-2.500000e+00	2.660320e+04	2.065153e+03	2.065153e+03
-2.500000e+00	-2.000000e+00	3.661570e+04	5.070438e+03	5.070438e+03
-2.000000e+00	-1.500000e+00	4.550645e+04	6.422442e+03	6.422442e+03
-1.500000e+00	-1.000000e+00	5.488916e+04	7.594050e+03	7.594050e+03
-1.000000e+00	-5.000000e-01	6.155007e+04	8.089179e+03	8.089179e+03
-5.000000e-01	0.000000e+00	6.349751e+04	7.908710e+03	7.908710e+03
0.000000e+00	5.000000e-01	6.429489e+04	8.411339e+03	8.411339e+03
5.000000e-01	1.000000e+00	6.095338e+04	7.767782e+03	7.767782e+03
1.000000e+00	1.500000e+00	5.484746e+04	8.055321e+03	8.055321e+03
1.500000e+00	2.000000e+00	4.760963e+04	6.412780e+03	6.412780e+03
2.000000e+00	2.500000e+00	3.813703e+04	5.501110e+03	5.501110e+03
2.500000e+00	3.000000e+00	2.492067e+04	2.056593e+03	2.056593e+03
3.000000e+00	4.000000e+00	1.550328e+04	3.247244e+03	3.247244e+03
4.000000e+00	4.700000e+00	4.631841e+03	1.599055e+03	1.599055e+03
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d10-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d10-x01-y01
Title=Leading soft jet $p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$p_{T}$ [GeV]
YLabel=$d^\sigma\,/dp_{T}\; [\text{pb}/GeV]$
PolyMarker=*
ErrorBars=1
## Area: 3.257750e+05
## Num bins: 10
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	8.827970e+03	1.230486e+03	1.230486e+03
5.000000e+01	1.000000e+02	1.190714e+03	1.350858e+02	1.350858e+02
1.000000e+02	1.500000e+02	2.536864e+01	2.639366e+00	2.639366e+00
1.500000e+02	2.000000e+02	2.396400e+00	3.488883e-01	3.488883e-01
2.000000e+02	2.600000e+02	1.772851e-01	5.431203e-02	5.431203e-02
2.600000e+02	3.200000e+02	2.217931e-02	1.209391e-02	1.209391e-02
3.200000e+02	3.800000e+02	0.000000e+00	2.941143e-02	2.941143e-02
3.800000e+02	4.400000e+02	0.000000e+00	4.894021e-03	4.894021e-03
4.400000e+02	5.100000e+02	0.000000e+00	7.756104e-07	7.756104e-07
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d11-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d11-x01-y01
Title=Subleading soft jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\eta$
YLabel=$d^\sigma\,/d\eta\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.271822e+05
## Num bins: 18
## xlow  	xhigh   	val    	errminus	errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	6.906546e+03	2.079999e+03	2.079999e+03
-4.000000e+00	-3.000000e+00	1.540673e+04	2.725180e+03	2.725180e+03
-3.000000e+00	-2.500000e+00	2.567124e+04	2.320969e+03	2.320969e+03
-2.500000e+00	-2.000000e+00	3.626039e+04	5.199460e+03	5.199460e+03
-2.000000e+00	-1.500000e+00	4.706273e+04	6.312261e+03	6.312261e+03
-1.500000e+00	-1.000000e+00	5.412160e+04	7.326021e+03	7.326021e+03
-1.000000e+00	-5.000000e-01	5.827967e+04	8.039081e+03	8.039081e+03
-5.000000e-01	0.000000e+00	6.345854e+04	8.885661e+03	8.885661e+03
0.000000e+00	5.000000e-01	6.012266e+04	8.181578e+03	8.181578e+03
5.000000e-01	1.000000e+00	5.832044e+04	7.948164e+03	7.948164e+03
1.000000e+00	1.500000e+00	5.504011e+04	6.899245e+03	6.899245e+03
1.500000e+00	2.000000e+00	4.856218e+04	6.505944e+03	6.505944e+03
2.000000e+00	2.500000e+00	3.884799e+04	5.295198e+03	5.295198e+03
2.500000e+00	3.000000e+00	2.630974e+04	1.462954e+03	1.462954e+03
3.000000e+00	4.000000e+00	1.592102e+04	2.427355e+03	2.427355e+03
4.000000e+00	4.700000e+00	7.130328e+03	2.147394e+03	2.147394e+03
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d12-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d12-x01-y01
Title=Subleading soft jet $p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$p_{T}$ [GeV]
YLabel=$d^\sigma\,/dp_{T}\; [\text{pb}/GeV]$
PolyMarker=*
ErrorBars=1
## Area: 3.268214e+05
## Num bins: 10
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	1.068706e+04	1.468363e+03	1.468363e+03
5.000000e+01	1.000000e+02	1.231196e+02	1.219497e+01	1.219497e+01
1.000000e+02	1.500000e+02	9.922068e-01	1.992764e-01	1.992764e-01
1.500000e+02	2.000000e+02	8.031143e-02	6.121768e-02	6.121768e-02
2.000000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d13-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d13-x01-y01
Title=Subleading hard jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\eta$
YLabel=$d^\sigma\,/d\eta\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.275671e+05
## Num bins: 18
## xlow  	xhigh   	val    	errminus	errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	1.211162e+03	6.612958e+02	6.612958e+02
-4.000000e+00	-3.000000e+00	1.039474e+04	3.023310e+03	3.023310e+03
-3.000000e+00	-2.500000e+00	2.425729e+04	1.694051e+03	1.694051e+03
-2.500000e+00	-2.000000e+00	3.624537e+04	4.787279e+03	4.787279e+03
-2.000000e+00	-1.500000e+00	4.779189e+04	6.762480e+03	6.762480e+03
-1.500000e+00	-1.000000e+00	6.037002e+04	7.383825e+03	7.383825e+03
-1.000000e+00	-5.000000e-01	6.644973e+04	8.592485e+03	8.592485e+03
-5.000000e-01	0.000000e+00	6.843045e+04	9.972777e+03	9.972777e+03
0.000000e+00	5.000000e-01	7.130172e+04	9.533006e+03	9.533006e+03
5.000000e-01	1.000000e+00	6.811454e+04	8.856903e+03	8.856903e+03
1.000000e+00	1.500000e+00	5.953850e+04	7.453035e+03	7.453035e+03
1.500000e+00	2.000000e+00	4.798239e+04	6.828284e+03	6.828284e+03
2.000000e+00	2.500000e+00	3.731417e+04	5.494748e+03	5.494748e+03
2.500000e+00	3.000000e+00	2.214217e+04	1.812662e+03	1.812662e+03
3.000000e+00	4.000000e+00	1.040469e+04	2.999801e+03	2.999801e+03
4.000000e+00	4.700000e+00	1.358197e+03	8.300225e+02	8.300225e+02
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d14-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d14-x01-y01
Title=Subleading hard jet $p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$p_{T}$ [GeV] 
YLabel=$d^\sigma\,/dp_{T}\; [\text{pb}/GeV]$
PolyMarker=*
ErrorBars=1
## Area: 3.270430e+05
## Num bins: 10
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	6.007025e+03	8.294824e+02	8.294824e+02
1.000000e+02	1.500000e+02	4.415664e+02	5.060258e+01	5.060258e+01
1.500000e+02	2.000000e+02	6.618842e+01	8.700732e+00	8.700732e+00
2.000000e+02	2.600000e+02	1.608326e+01	1.874043e+00	1.874043e+00
2.600000e+02	3.200000e+02	3.812217e+00	5.259668e-01	5.259668e-01
3.200000e+02	3.800000e+02	1.070462e+00	1.934759e-01	1.934759e-01
3.800000e+02	4.400000e+02	4.765549e-01	1.219669e-01	1.219669e-01
4.400000e+02	5.100000e+02	2.488388e-01	7.503446e-02	7.503446e-02
# END HISTOGRAM

